#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 28 11 30 330  7.2  8.8    MM    MM    MM  MM 1027.3  11.3  15.3    MM   MM   MM    MM
2022 01 28 11 24 320  7.7  9.3    MM    MM    MM  MM 1027.3  11.2  15.3    MM   MM   MM    MM
2022 01 28 11 18 330  8.2  9.8    MM    MM    MM  MM 1026.9  11.6  15.3    MM   MM   MM    MM
2022 01 28 11 12 330  8.2 10.3    MM    MM    MM  MM 1026.5  11.8  15.3    MM   MM   MM    MM
2022 01 28 11 06 330  8.2  9.8    MM    MM    MM  MM 1026.2  11.8  15.4    MM   MM   MM    MM
2022 01 28 11 00 340  8.8  9.8    MM    MM    MM  MM 1025.8  11.7  15.4    MM   MM +1.5    MM
2022 01 28 10 54 340  8.8  9.8    MM    MM    MM  MM 1025.5  11.8  15.4    MM   MM   MM    MM
2022 01 28 10 48 340  8.2  9.3    MM    MM    MM  MM 1025.4  11.8  15.4    MM   MM   MM    MM
2022 01 28 10 42 340  7.7  8.2    MM    MM    MM  MM 1025.5  11.8  15.4    MM   MM   MM    MM
2022 01 28 10 36 340  7.7  8.8    MM    MM    MM  MM 1025.7  11.8  15.5    MM   MM   MM    MM
2022 01 28 10 30 330  6.7  8.2    MM    MM    MM  MM 1025.7  11.8  15.5    MM   MM   MM    MM
2022 01 28 10 24 330  7.7  8.8    MM    MM    MM  MM 1025.5  11.7  15.5    MM   MM   MM    MM
2022 01 28 10 18 330  6.7  7.7    MM    MM    MM  MM 1025.6  11.8  15.5    MM   MM   MM    MM
2022 01 28 10 12 330  6.7  7.2    MM    MM    MM  MM 1025.7  11.8  15.6    MM   MM   MM    MM
2022 01 28 10 06 340  6.7  7.7    MM    MM    MM  MM 1025.3  11.8  15.6    MM   MM   MM    MM
2022 01 28 10 00 340  6.2  7.2    MM    MM    MM  MM 1025.2  11.9  15.6    MM   MM +0.9    MM
2022 01 28 09 54 330  5.1  6.2    MM    MM    MM  MM 1025.3  12.0  15.6    MM   MM   MM    MM
2022 01 28 09 48 340  5.7  6.7    MM    MM    MM  MM 1025.2  12.0  15.6    MM   MM   MM    MM
2022 01 28 09 42 340  6.2  6.7    MM    MM    MM  MM 1025.1  12.0  15.7    MM   MM   MM    MM
2022 01 28 09 36 330  5.1  5.7    MM    MM    MM  MM 1025.2  12.0  15.7    MM   MM   MM    MM
2022 01 28 09 30 340  5.1  5.7    MM    MM    MM  MM 1025.1  12.0  15.7    MM   MM   MM    MM
2022 01 28 09 24 340  5.1  5.7    MM    MM    MM  MM 1025.0  11.9  15.7    MM   MM   MM    MM
2022 01 28 09 18 330  4.6  5.1    MM    MM    MM  MM 1024.9  11.9  15.7    MM   MM   MM    MM
2022 01 28 09 12 340  5.1  5.7    MM    MM    MM  MM 1024.8  11.9  15.7    MM   MM   MM    MM
2022 01 28 09 06 340  5.1  5.7    MM    MM    MM  MM 1024.6  11.9  15.7    MM   MM   MM    MM
2022 01 28 09 00 340  4.6  5.7    MM    MM    MM  MM 1024.4  11.8  15.7    MM   MM +0.4    MM
2022 01 28 08 54 350  4.6  5.7    MM    MM    MM  MM 1024.3  11.8  15.8    MM   MM   MM    MM
2022 01 28 08 48 340  4.1  5.1    MM    MM    MM  MM 1024.4  11.8  15.8    MM   MM   MM    MM
2022 01 28 08 42 340  4.1  5.1    MM    MM    MM  MM 1024.4  11.9  15.8    MM   MM   MM    MM
2022 01 28 08 36 340  4.6  5.7    MM    MM    MM  MM 1024.5  11.9  15.8    MM   MM   MM    MM
2022 01 28 08 30 340  5.1  5.7    MM    MM    MM  MM 1024.5  12.0  15.7    MM   MM   MM    MM
2022 01 28 08 24 350  5.1  5.7    MM    MM    MM  MM 1024.5  12.1  15.7    MM   MM   MM    MM
2022 01 28 08 18 360  5.1  5.7    MM    MM    MM  MM 1024.4  12.0  15.7    MM   MM   MM    MM
2022 01 28 08 12 350  5.1  6.2    MM    MM    MM  MM 1024.3  12.0  15.7    MM   MM   MM    MM
2022 01 28 08 06 350  5.1  5.7    MM    MM    MM  MM 1024.4  12.0  15.7    MM   MM   MM    MM
2022 01 28 08 00 350  4.6  5.7    MM    MM    MM  MM 1024.3  12.0  15.7    MM   MM +0.4    MM
2022 01 28 07 54 350  4.6  5.7    MM    MM    MM  MM 1024.2  11.9  15.7    MM   MM   MM    MM
2022 01 28 07 48 360  5.1  5.7    MM    MM    MM  MM 1024.2  12.0  15.8    MM   MM   MM    MM
2022 01 28 07 42 360  4.1  5.7    MM    MM    MM  MM 1024.1  12.1  15.7    MM   MM   MM    MM
2022 01 28 07 36 360  4.6  5.7    MM    MM    MM  MM 1024.1  12.1  15.7    MM   MM   MM    MM
2022 01 28 07 30 360  4.6  5.1    MM    MM    MM  MM 1024.2  12.1  15.7    MM   MM   MM    MM
2022 01 28 07 24 350  3.6  4.6    MM    MM    MM  MM 1024.4  12.2  15.7    MM   MM   MM    MM
2022 01 28 07 18 350  4.1  4.6    MM    MM    MM  MM 1024.2  12.2  15.8    MM   MM   MM    MM
2022 01 28 07 12 350  4.1  4.6    MM    MM    MM  MM 1024.3  12.2  15.8    MM   MM   MM    MM
2022 01 28 07 06 360  3.6  4.1    MM    MM    MM  MM 1024.2  12.2  15.8    MM   MM   MM    MM
2022 01 28 07 00 360  3.6  4.1    MM    MM    MM  MM 1024.3  12.2  15.8    MM   MM +0.8    MM
2022 01 28 06 54 360  3.6  4.6    MM    MM    MM  MM 1024.2  12.3  15.8    MM   MM   MM    MM
2022 01 28 06 48 360  4.1  5.1    MM    MM    MM  MM 1024.1  12.3  15.8    MM   MM   MM    MM
