#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2022 01 28 10 36 330  4.6  5.1    MM    MM    MM  MM 1019.4   9.2    MM    MM   MM   MM    MM
2022 01 28 10 30 340  4.1  5.1    MM    MM    MM  MM 1019.3   9.3    MM    MM   MM   MM    MM
2022 01 28 10 24 340  4.1  4.6    MM    MM    MM  MM 1019.3   9.3    MM    MM   MM   MM    MM
2022 01 28 10 18 330  4.1  5.1    MM    MM    MM  MM 1019.3   9.4    MM    MM   MM   MM    MM
2022 01 28 10 12 330  4.6  5.1    MM    MM    MM  MM 1019.3   9.5    MM    MM   MM   MM    MM
2022 01 28 10 06 320  4.6  5.1    MM    MM    MM  MM 1019.3   9.5    MM    MM   MM   MM    MM
2022 01 28 10 00 310  4.6  4.6    MM    MM    MM  MM 1019.3   9.6    MM    MM   MM -1.4    MM
2022 01 28 09 54 310  4.1  4.6    MM    MM    MM  MM 1019.2   9.7    MM    MM   MM   MM    MM
2022 01 28 09 48 310  3.6  4.1    MM    MM    MM  MM 1019.2   9.7    MM    MM   MM   MM    MM
2022 01 28 09 42 310  3.1  4.6    MM    MM    MM  MM 1019.3   9.7    MM    MM   MM   MM    MM
2022 01 28 09 36 310  3.6  4.6    MM    MM    MM  MM 1019.4   9.8    MM    MM   MM   MM    MM
2022 01 28 09 30 310  4.1  5.1    MM    MM    MM  MM 1019.6   9.9    MM    MM   MM   MM    MM
2022 01 28 09 24 310  4.1  4.6    MM    MM    MM  MM 1019.6   9.9    MM    MM   MM   MM    MM
2022 01 28 09 18 310  3.6  4.1    MM    MM    MM  MM 1019.6  10.0    MM    MM   MM   MM    MM
2022 01 28 09 12 320  3.1  3.6    MM    MM    MM  MM 1019.6  10.1    MM    MM   MM   MM    MM
2022 01 28 09 06 310  4.1  4.6    MM    MM    MM  MM 1019.7  10.1    MM    MM   MM   MM    MM
