#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2021 12 20 08 55  30  6.7  9.8    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 08 35  30  5.7  9.8    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 08 15  20  9.3   MM    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 07 55  30  7.2   MM    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 07 35  30  5.1  8.2    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 07 15  40  5.7  9.8    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 06 55  30  7.2   MM    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 06 35  30  5.1  7.7    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 06 15  30  7.2 11.3    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 05 55  30  7.2 11.3    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 05 35  30  6.2 10.3    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 05 15  20  7.2   MM    MM    MM    MM  MM     MM    17    MM    13  8.7   MM    MM
2021 12 20 04 55  20  8.8   MM    MM    MM    MM  MM     MM    17    MM    13  8.7   MM    MM
2021 12 20 04 35  MM  3.1  9.8    MM    MM    MM  MM     MM    17    MM    13  8.7   MM    MM
2021 12 20 04 15  20  7.7   MM    MM    MM    MM  MM     MM    17    MM    13  8.7   MM    MM
2021 12 20 03 55  20  5.7 11.3    MM    MM    MM  MM     MM    16    MM    13  8.7   MM    MM
2021 12 20 03 35  30  8.8 11.3    MM    MM    MM  MM     MM    17    MM    14  8.7   MM    MM
2021 12 20 03 15  MM  2.1 10.3    MM    MM    MM  MM     MM    17    MM    13  8.7   MM    MM
2021 12 20 02 55 350  3.6 10.3    MM    MM    MM  MM     MM    17    MM    13  8.7   MM    MM
2021 12 20 02 35  MM  3.1 10.3    MM    MM    MM  MM     MM    17    MM    14  8.7   MM    MM
2021 12 20 02 15  20  5.7 12.9    MM    MM    MM  MM     MM    17    MM    14  8.7   MM    MM
2021 12 20 01 55 360  5.1 13.4    MM    MM    MM  MM     MM    17    MM    14  8.7   MM    MM
2021 12 20 01 35  10  4.6 11.8    MM    MM    MM  MM     MM    17    MM    14  8.7   MM    MM
2021 12 20 01 15  10  6.2 11.3    MM    MM    MM  MM     MM    18    MM    14  8.7   MM    MM
2021 12 20 00 55  10  6.2 12.4    MM    MM    MM  MM     MM    17    MM    14  8.7   MM    MM
2021 12 20 00 35  20  7.7 11.3    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
2021 12 20 00 15  20 11.3   MM    MM    MM    MM  MM     MM    18    MM    14  8.7   MM    MM
2021 12 19 23 55  20  8.2 11.3    MM    MM    MM  MM     MM    18    MM    14  8.7   MM    MM
2021 12 19 23 35 350  4.1 10.3    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
2021 12 19 23 15  MM  3.1 10.3    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
2021 12 19 22 55  20  8.2 11.3    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
2021 12 19 22 35  MM  5.1  9.8    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
2021 12 19 22 15  MM  3.1 10.8    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
2021 12 19 21 55 360  4.6 11.8    MM    MM    MM  MM     MM    18    MM    15  8.7   MM    MM
